Where	Sub	Type	method	Text	Translation	File Directory	File Name	size	sha256	Reworked by	Contributors	Attribution	Comments	max_length
			ignore			\Items\Attachments\Salvo\Files	TX_Salvo_NR.png	300797	4919d3f8949a5c1e370eaeca35d6c483218274fece94ba4b93c863fc454c31cc					
			ignore			\Items\Attachments\Thor\Files	Icon_Thor.png	7250	4bf17cef385a144c2da8a37201add9175f9599d6c3670067182a68d363dcc709					
			ignore			\Items\Attachments\Thor\Files	TX_Thor_AL.png	195184	10fb0b56653e2a9c20bbaaf70528afb5510c7bbfded1c99848135e83b070025e					
			ignore			\Items\Attachments\Thor\Files	TX_Thor_NR.png	179191	cabe89bf678ad3dcb09fdea66d68238291c2b0ee4211e96f0789d8fac39e3620					
			ignore			\Items\Attachments\Vudu\Files	Icon_Vudu.png	19094	af7057bb7be3a3157dc151e3ff977f8e1e12b2fead870bfbc908c017a0ceb3f8					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_AL.png	3229196	00a7f6414decd66f9edee239e6fe9a8cb93cf2435bb44bbefedfe89e8343ec34				Reason for ignoring: Translation is unnecessary	
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_AO.png	155361	913dd97d4638d76b6a7a309fa7066d8f5de98de33cd896c60141bec85ff48362					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_Mount_AL.png	828740	3b5054bd59b3b6c8f8270801ead7e908b7319b6e45ff8549534f63036d85673d					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_Mount_AO.png	165966	375005a863046b07e82e5da968142da9aa770541cceaa2b86b72656b6d555e5c					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_Mount_NR.png	6219345	336b693c06138fa1603a9518cfbebb99841d8539f8bb89c87204a900ae6d9b36					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_NR.png	5400052	c5ad570d46ac942e0d2a073744838d40b767c656d4a3d565bacf7a0da8f2b2b2					
			ignore			\Items\Attachments\Vudu\Files	TX_Vudu_Reticle.png	2436479	374b8df1626486a95331d47f0de258b9e35b5241b5f0fb0528bab1851a9704d4					
